WARN ( ./pmacct.conf.vaultaire ): Unknown key: print_output. Line 4 ignored.
OK ( default/core ): link type is: 1
WARN ( default/core ): eth1: no IPv4 address assigned
ID     CLASS             SRC_MAC            DST_MAC            VLAN   SRC_AS  DST_AS  SRC_IP           DST_IP           SRC_PORT  DST_PORT  TCP_FLAGS  PROTOCOL    TOS    PACKETS               FLOWS                 BYTES
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       14.200.205.207   110.173.157.181  0         0         0          ip          0      326                   0                     25707
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.137    173.252.112.23   0         0         0          ip          0      56                    0                     4808
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       49.184.76.198    202.4.229.185    0         0         0          ip          0      586                   0                     70265
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       14.201.177.122   110.173.154.69   0         0         0          ip          0      23                    0                     4986
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.175.237.78   202.4.230.43     0         0         0          ip          0      164                   0                     10030
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       120.148.11.15    110.173.158.130  0         0         0          ip          0      5132                  0                     7695104
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       69.16.207.6      202.4.224.190    0         0         0          ip          0      719                   0                     35013
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.151.16.162   202.4.231.45     0         0         0          ip          0      32                    0                     2981
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.181  122.148.169.80   0         0         0          ip          0      1869                  0                     2383567
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       144.76.202.227   110.173.158.161  0         0         0          ip          0      94                    0                     12923
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       60.242.19.68     202.4.234.179    0         0         0          ip          0      1287                  0                     86946
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       150.101.218.234  202.4.228.167    0         0         0          ip          0      123                   0                     13669
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.250    27.125.203.43    0         0         0          ip          0      93                    0                     116104
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.181  119.225.33.42    0         0         0          ip          0      143                   0                     132437
